R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy
C	c-C3H		H	C4				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3458	1	2		-130.6615618783413
C	l-C3H		H	C4				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3459	1	2		-138.796280422979
C	c-C3H2		H	C4H				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3460	1	1		-176.63764106050218
C	l-C3H2		H	C4H				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3461	1	1		-229.57943482336663
C	C3N		CN	C3				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3462	1	2		-172.71638037225617
C	C3O		CO	C3				4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	298.0	3	3463	1	3	modified by Urso 2016/6/24 as in Loison et al. 2014 	-336.5265862252281
C	CH2CCH		H	C4H2				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3464	1	1		-367.0023160917009
C	CH3CCH		H2	C4H2				2.7e-11	-0.11	0.0	2.0	0.0	logn	4	10.0	800.0	3	3465	1	1		-420.8077888867949
C	CH3CCH		H	C4H3				2.7e-10	-0.11	0.0	2.0	0.0	logn	4	10.0	300.0	3	3466	1	1		-174.62779440237944
C	C2H5		H	CH3CCH				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3467	1	1		-409.6361308939075
C	C4H		H	C5				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3468	1	2		-224.94579454052118
C	C4H2		H	C5H				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3469	1	2		-26.15473414734353
C	C4H3		H	C5H2				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3470	1	1		-192.70226287929873
C	C5H		H	C6				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3471	1	2		-136.1822799138612
C	C5N		CN	C5				1.2e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3472	1	2		-152.34073973531886
C	C5N		C3	C3N				1.2e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3473	1	2		-117.40470248341094
C	C5H2		H	C6H				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3474	1	2		-250.3112508176918
C	C6H		H	C7				2.4e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3475	1	2		-189.8506546019346
C2H2	C4H		H	C6H2				1.82e-10	-1.06	65.8	1.21	0.0	logn	4	39.0	298.0	3	3476	1	2		-123.77585679080455
C4H	CH4		CH3	C4H2				1.6e-11	0.0	610.0	1.1	0.0	logn	4	200.0	300.0	3	3477	1	2		-119.05185466736538
C4H	CH4		CH3	C4H2				2.98e-13	2.717	370.8	1.0	0.0	norm	4	300.0	1000.0	3	3477	2	2		-119.05185466736538
CO	N+		NO	C+				9.02e-10	0.0	15400.0	2.0	0.0	logn	4	10.0	800.0	3	3478	1	1		130.63317234455906
CO	N+		C	NO+				0.109	1.07e-09	0.251	2.0	0.0	logn	4	10.0	800.0	5	3479	1	1		-59.40437061260992
CH3CCH	C4H		CH3	C6H2				3.2e-10	-0.82	47.5	1.12	0.0	logn	4	39.0	300.0	3	3480	1	2		-155.27777391256694
H	OCN		O	HCN				1.87e-11	0.9	2920.0	2.0	0.0	logn	4	10.0	800.0	3	3481	1	1		23.46262500724906
H	OCN		CO	NH				1.26e-10	0.0	515.0	2.0	0.0	logn	4	10.0	800.0	3	3482	1	1		-111.3164563246383
N	OCN		CO	N2				5.5e-11	0.0	0.0	1.15	0.0	logn	4	10.0	299.0	3	3483	1	2		-688.4819243757545
N	OCN		CO	N2				5.5e-11	-0.25	0.0	1.6	230.0	logn	4	299.0	1700.0	3	3483	2	2		-688.4819243757545
C	OCS		CO	CS				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3484	1	2		-392.7436914876061
CH	OCS		H	CO	CS			4e-10	0.0	0.0	2.0	0.0	logn	4	10.0	301.0	3	3485	1	2		-65.4358245764559
CH	OCS		H	CO	CS			1.99e-10	0.0	-190.0	1.06	20.0	logn	4	301.0	667.0	3	3485	2	2		-65.4358245764559
O	C4H-		CO	c-C3H	e-			5.3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3486	1	1		
O	C5H-		CO	C4H-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3487	1	1		-578.0152899556498
O	C6H-		CO	C5H-				5.4e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3488	1	1		-310.00937552024146
O	C7H-		CO	C6H-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3489	1	1		-561.4636641050356
O	C8H-		CO	C7H-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3490	1	1		-338.62197167974335
O	C9H-		CO	C8H-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3491	1	1		-548.9357748406006
O	C10H-		CO	C9H-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3492	1	1		-356.95284650610546
H	C10H-		CCH	C8H-				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3493	1	1		140.94661759669384
C	C10H-		C6	C5H-				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3494	1	1		191.20210457495682
HCO+	C-		C	H	CO			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3495	1	1		-607.8627061185081
H3O+	C-		C	H	H2O			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3496	1	1		-511.35953983885554
H3+	C-		C	H	H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3497	1	1		-782.1092723783889
N2H+	C-		C	H	N2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3498	1	1		-707.6057737765785
HCO+	S-		H	S	CO			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3499	1	1		-537.2493846454025
H3O+	S-		H	S	H2O			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3500	1	1		-440.74621836575
H3+	S-		H	S	H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3501	1	1		-711.4959509052273
N2H+	S-		H	S	N2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3502	1	1		-636.992452303473
HCO+	O-		H	O	CO			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3503	1	1		-596.602589510284
H3O+	O-		H	O	H2O			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3504	1	1		-500.0994232306315
H3+	O-		H	O	H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3505	1	1		-770.8491557701835
N2H+	O-		H	O	N2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3506	1	1		-696.345657168429
HCO+	CN-		H	CN	CO			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3507	1	1		-354.8998576288578
H3O+	CN-		H	CN	H2O			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3508	1	1		-258.3966913491306
H3+	CN-		H	CN	H2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3509	1	1		-529.1464238886825
N2H+	CN-		H	CN	N2			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3510	1	1		-454.64292528685354
HCO+	OH-		H	CO	OH			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3511	1	1		-557.1810164416985
H3O+	OH-		H	OH	H2O			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3512	1	1		-460.6778501620459
H3+	OH-		H	H2	OH			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3513	1	1		-731.4275827016352
N2H+	OH-		H	N2	OH			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3514	1	1		-656.9240840998435
HCO+	C4H-		H	CO	C4H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3515	1	1		-383.25001403931253
H3O+	C4H-		H	H2O	C4H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3516	1	1		-286.74684775965994
H3+	C4H-		H	H2	C4H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3517	1	1		-557.4965802992865
N2H+	C4H-		H	N2	C4H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3518	1	1		-482.99308169753215
HCO+	C5-		H	CO	C5			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3519	1	1		-453.5018356408929
H3O+	C5-		H	H2O	C5			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3520	1	1		-356.9986693612404
H3+	C5-		H	H2	C5			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3521	1	1		-627.7484019007924
N2H+	C5-		H	N2	C5			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3522	1	1		-553.2449032989633
HCO+	C5H-		H	CO	C5H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3523	1	1		-492.7770607026515
H3O+	C5H-		H	H2O	C5H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3524	1	1		-396.273894422999
H3+	C5H-		H	H2	C5H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3525	1	1		-667.0236269625509
N2H+	C5H-		H	N2	C5H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3526	1	1		-592.5201283607219
HCO+	C6-		H	CO	C6			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3527	1	1		-328.79089120098183
H3O+	C6-		H	H2O	C6			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3528	1	1		-232.28772492118
H3+	C6-		H	H2	C6			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3529	1	1		-503.0374574608066
N2H+	C6-		H	N2	C6			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3530	1	1		-428.5339588590522
HCO+	C6H-		H	CO	C6H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3531	1	1		-361.33976853532016
H3O+	C6H-		H	H2O	C6H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3532	1	1		-264.83660225581684
H3+	C6H-		H	H2	C6H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3533	1	1		-535.5863347952942
N2H+	C6H-		H	N2	C6H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3534	1	1		-461.0828361935398
HCO+	C7-		H	CO	C7			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3535	1	1		-403.52031960824104
H3O+	C7-		H	H2O	C7			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3536	1	1		-307.0171533287377
H3+	C7-		H	H2	C7			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3537	1	1		-577.7668858683643
N2H+	C7-		H	N2	C7			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3538	1	1		-503.26338726646065
HCO+	C7H-		H	CO	C7H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3539	1	1		-453.1207180318919
H3O+	C7H-		H	H2O	C7H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3540	1	1		-356.6175517522393
H3+	C7H-		H	H2	C7H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3541	1	1		-627.367284291866
N2H+	C7H-		H	N2	C7H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3542	1	1		-552.8637856899622
HCO+	C8-		H	CO	C8			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3543	1	1		-308.28116626827654
H3O+	C8-		H	H2O	C8			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3544	1	1		-211.77799998877325
H3+	C8-		H	H2	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3545	1	1		-482.52773252839984
N2H+	C8-		H	N2	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3546	1	1		-408.0242339264962
HCO+	C8H-		H	CO	C8H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3547	1	1		-345.7586850884621
H3O+	C8H-		H	H2O	C8H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3548	1	1		-249.2555188088095
H3+	C8H-		H	H2	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3549	1	1		-520.0052513484361
N2H+	C8H-		H	N2	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3550	1	1		-445.5017527465325
HCO+	C9-		H	CO	C9			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3551	1	1		-370.1946355297229
H3O+	C9-		H	H2O	C9			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3552	1	1		-273.6914692502196
H3+	C9-		H	H2	C9			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3553	1	1		-544.4412017898462
N2H+	C9-		H	N2	C9			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3554	1	1		-469.93770318794253
HCO+	C9H-		H	CO	C9H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3555	1	1		-425.4997207877387
H3O+	C9H-		H	H2O	C9H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3556	1	1		-328.99655450823536
H3+	C9H-		H	H2	C9H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3557	1	1		-599.746287047862
N2H+	C9H-		H	N2	C9H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3558	1	1		-525.2427884459584
HCO+	C10-		H	CO	C10			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3559	1	1		-293.32744609460946
H3O+	C10-		H	H2O	C10			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3560	1	1		-196.82427981480765
H3+	C10-		H	H2	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3561	1	1		-467.5740123544343
N2H+	C10-		H	N2	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3562	1	1		-393.0705137525306
HCO+	C10H-		H	CO	C10H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3563	1	1		-334.1690970854205
H3O+	C10H-		H	H2O	C10H			3.76e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3564	1	1		-237.66593080591718
H3+	C10H-		H	H2	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3565	1	1		-508.4156633455438
N2H+	C10H-		H	N2	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3566	1	1		-433.9121647436401
O	C10H		CO	C9H				7e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3567	1	2		-448.2834702084237
C	C10H2+		H2	C11+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3568	1	1		-22.329821177378943
C	C10H2+		C9H	C2H+				1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3569	1	1		356.3221488480002
N	C10H2+		C9H	HNC+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3570	1	1		269.8848273987115
O	C10H2+		C9H	HCO+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3571	1	1		-36.002827867465605
O	C10H+		CO	C9H+				1.5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3572	1	1		-515.3096285190337
O	C10H+		C9	HCO+				1.5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3573	1	1		-139.30095407113086
O	C10+		CO	C9+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3574	1	1		-639.0837419777852
O	C9+		CO	C8+				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3575	1	1		-219.0784054584149
C	C11		C5	C7				3e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3576	1	2		-130.20073408301582
C	C11		C3	C9				2.1e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3577	1	2		-133.15061483284467
O	C5-		CO	C4-				6.4e-10	0.0	0.0	1e-10	0.0	unif	4	10.0	300.0	3	3578	1	2		-454.20347431426484
O	C6-		CO	C5-				4.7e-10	0.0	0.0	7e-11	0.0	unif	4	10.0	300.0	3	3579	1	2		-432.5408134791342
O	C7-		CO	C6-				5.3e-10	0.0	0.0	5e-11	0.0	unif	4	10.0	300.0	3	3580	1	2		-462.50772140675866
O	C8-		CO	C7-				5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3581	1	1		-442.68191302164246
O	C9-		CO	C8-				5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3582	1	1		-464.89968336415296
O	C10-		CO	C9-				5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3583	1	1		-448.1079817752361
N	C5-		CN	C4-				9e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3584	1	2		-117.83263538649939
N	C5-		C4	CN-				9e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3585	1	2		-105.84484301942037
N	C6-		CN	C5-				3.75e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3586	1	2		-96.16997455144339
N	C6-		C3	C3N-				3.75e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3587	1	2		-203.69927548700997
N	C6-		C5	CN-				3.75e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3588	1	2		-194.77195256347855
N	C7-		CN	C6-				5.5e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3589	1	2		-126.13688247906782
N	C7-		C6	CN-				5.5e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3590	1	2		-100.02791605119185
N	C7-		C4	C3N-				5.5e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3591	1	2		-65.9635396149262
N	C8-		C7	CN-				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3592	1	1		-154.9315360734841
N	C8-		CN	C7-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3593	1	1		-106.31107409380236
N	C8-		C5	C3N-				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3594	1	1		-165.03174870141797
N	C9-		C8	CN-				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3595	1	1		-81.91015307603013
N	C9-		CN	C8-				5e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3596	1	1		-128.52884443631288
N	C9-		C6	C3N-				2e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3597	1	1		-72.67967414637631
N	C10-		C9	CN-				2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3598	1	1		-127.03192074841039
N	C10-		CN	C9-				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3599	1	1		-111.73714284724676
N	C10-		C7	C3N-				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3600	1	1		-133.0093629222622
C	C9H2		H	C10H				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3601	1	2		-285.11942358436687
O	C5H2		CO	C4H2				2e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3602	1	2		-665.6031843578465
O	C6H2		CO	C5H2				3e-11	-0.5	0.0	2.0	100.0	logn	4	10.0	300.0	3	3603	1	2		-256.6768548174832
O	C7H2		CO	C6H2				2e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3604	1	2		-677.669484431891
O	C8H2		CO	C7H2				3e-11	-0.5	0.0	2.0	100.0	logn	4	10.0	300.0	3	3605	1	2		-242.5625858226157
O	C9H2		CO	C8H2				2e-10	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	3606	1	2		-691.0441762759954
O	C3N-		CO	CCN	e-			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	3607	1	1		
H3O+	C3N-		H	H2O	C3N			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3608	1	1		-214.53333117376587
H3+	C3N-		H	H2	C3N			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3609	1	1		-485.28306371331786
N2H+	C3N-		H	N2	C3N			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3610	1	1		-410.7795651116381
HSO+	C-		C	H	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3611	1	1		-609.0672068453223
HSO+	H-		H	H	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3612	1	1		-656.3738645341263
HSO+	O-		H	O	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3613	1	1		-597.8070902370982
HSO+	S-		H	S	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3614	1	1		-538.4538853722167
HSO+	CN-		H	CN	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3615	1	1		-356.1043583555227
HSO+	OH-		H	OH	SO			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3616	1	1		-558.385517168438
HSO+	C4H-		H	SO	C4H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3617	1	1		-384.4545147664252
HSO+	C5-		H	SO	C5			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3618	1	1		-454.70633636770714
HSO+	C5H-		H	SO	C5H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3619	1	1		-493.98156142946567
HSO+	C6-		H	SO	C6			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3620	1	1		-329.9953919276467
HSO+	C6H-		H	SO	C6H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3621	1	1		-362.5442692621343
HSO+	C7-		H	SO	C7			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3622	1	1		-404.7248203353537
HSO+	C7H-		H	SO	C7H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3623	1	1		-454.32521875870606
HSO+	C8-		H	SO	C8			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3624	1	1		-309.48566699538924
HSO+	C8H-		H	SO	C8H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3625	1	1		-346.9631858155747
HSO+	C9-		H	SO	C9			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3626	1	1		-371.39913625683556
HSO+	C9H-		H	SO	C9H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3627	1	1		-426.7042215145529
HSO+	C10-		H	SO	C10			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3628	1	1		-294.5319468214236
HSO+	C10H-		H	SO	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3629	1	1		-335.37359781253315
HSO+	C3N-		H	SO	C3N			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3630	1	1		-312.2409981802326
HCNH+	C-		C	H	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3631	1	1		-489.0901967959867
HCNH+	H-		H	H	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3632	1	1		-536.3968544847905
HCNH+	O-		H	O	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3633	1	1		-477.8300801877626
HCNH+	S-		H	S	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3634	1	1		-418.4768753228811
HCNH+	CN-		H	CN	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3635	1	1		-236.1273483062617
HCNH+	OH-		H	OH	HCN			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3636	1	1		-438.408507119177
HCNH+	C4H-		H	HNC	C4H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3637	1	2		-204.631598484541
HCNH+	C4H-		H	HCN	C4H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3638	1	2		-264.47750471686567
HCNH+	C5-		H	HNC	C5			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3639	1	2		-274.8834200861214
HCNH+	C5-		H	HCN	C5			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3640	1	2		-334.7293263183715
HCNH+	C5H-		H	HCN	C5H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3641	1	1	modified by Urso 24/6/2016 from Loison 2014	-374.0045513799808
HCNH+	C6-		H	HNC	C6			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3642	1	2		-150.17247564606103
HCNH+	C6-		H	HCN	C6			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3643	1	2		-210.0183818783111
HCNH+	C6H-		H	HNC	C6H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3644	1	2		-182.72135298054863
HCNH+	C6H-		H	HCN	C6H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3645	1	2		-242.5672592127987
HCNH+	C7-		H	HCN	C7			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3646	1	2		-284.7478102858688
HCNH+	C7-		H	HNC	C7			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3647	1	2		-224.9019040534695
HCNH+	C7H-		H	HCN	C7H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3648	1	1	modified by Urso 24/6/2016 from Loison 2014	-334.34820870937045
HCNH+	C8-		H	HCN	C8			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3649	1	2		-189.50865694590433
HCNH+	C8-		H	HNC	C8			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3650	1	2		-129.66275071350503
HCNH+	C8H-		H	HCN	C8H			3.8e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	3651	1	2		-226.9861757659406
